date,ticker,price,pe,pb
2026-08-30,AEFES,18.9,11.15,0.89
2026-08-30,AGHOL,30.92,15.78,0.57
2026-08-30,AKBNK,73.15,5.7,1.17
2026-08-30,AKCNS,245.8,70.55,1.65
2026-08-30,AKFYE,23.2,10.22,0.4
2026-08-30,AKGRT,6.23,4.38,1.17
2026-08-30,AKSA,11.1,6.64,1.18
2026-08-30,AKSEN,81.85,27.22,1.46
2026-08-30,ALARK,108.5,6.52,0.49
2026-08-30,ALTNY,17.92,361.45,3.33
2026-08-30,ANHYT,105.8,6.72,3.49
2026-08-30,ANSGR,27.62,3.71,1.2
2026-08-30,ARCLK,93.35,-21.29,0.81
2026-08-30,ASELS,398.25,44.03,5.92
2026-08-30,ASTOR,338.75,30.18,7.72
2026-08-30,BFREN,131.4,69.01,19.99
2026-08-30,BIMAS,418.25,17.0,2.49
2026-08-30,BIOEN,19.94,-10.93,3.05
2026-08-30,BRISA,78.85,53.09,0.86
2026-08-30,BRSAN,706.0,37.12,2.31
2026-08-30,BRYAT,1869.0,10.79,1.49
2026-08-30,BUCIM,5.56,-19.76,0.44
2026-08-30,CANTE,1.21,-4.97,0.38
2026-08-30,CCOLA,78.95,10.04,2.41
2026-08-30,CIMSA,46.62,10.16,1.18
2026-08-30,CVKMD,15.91,233.34,4.77
2026-08-30,CWENE,36.0,12.06,2.19
2026-08-30,DOAS,166.8,14.97,0.49
2026-08-30,DOHOL,21.86,8.96,0.6
2026-08-30,DSTKF,3810.0,285.35,93.93
2026-08-30,ECILC,77.75,-27.4,0.77
2026-08-30,EKGYO,20.6,-33.98,0.51
2026-08-30,ENERY,9.51,15.2,1.31
2026-08-30,ENJSA,115.0,19.85,1.25
2026-08-30,ENKAI,87.75,11.57,1.28
2026-08-30,EREGL,38.7,34.72,0.85
2026-08-30,EUPWR,99.5,64.73,5.01
2026-08-30,EUREN,3.89,435.56,0.67
2026-08-30,FENER,3.21,-4.8,2.95
2026-08-30,FROTO,79.55,8.41,1.56
2026-08-30,GARAN,133.3,4.64,1.15
2026-08-30,GESAN,92.2,28.14,2.46
2026-08-30,GLYHO,16.82,5.13,1.98
2026-08-30,GOLTS,312.5,8.4,0.49
2026-08-30,GUBRF,484.5,20.07,4.57
2026-08-30,GWIND,23.26,5.64,0.7
2026-08-30,HALKB,38.12,8.51,1.17
2026-08-30,HEKTS,2.84,-4.58,1.45
2026-08-30,ISCTR,12.91,4.77,0.71
2026-08-30,ISDMR,54.2,11.74,1.01
2026-08-30,ISMEN,33.38,6.82,1.42
2026-08-30,IZMDC,13.97,-12.92,1.02
2026-08-30,KARSN,9.27,23.7,1.02
2026-08-30,KAYSE,4.15,-2.71,0.28
2026-08-30,KCHOL,214.2,14.3,0.69
2026-08-30,KLSER,25.0,-5.76,1.89
2026-08-30,KLYPV,61.9,45.89,1.4
2026-08-30,KMPUR,20.08,13.37,2.22
2026-08-30,KONYA,4130.0,90.62,4.4
2026-08-30,KORDS,88.9,-24.6,1.0
2026-08-30,KRDMD,45.6,12.0,0.48
2026-08-30,KTLEV,64.0,15.59,13.52
2026-08-30,MAVI,38.42,14.64,1.95
2026-08-30,MGROS,558.5,14.69,1.09
2026-08-30,MIATK,29.88,-8.17,2.45
2026-08-30,ODAS,7.11,-201.52,0.63
2026-08-30,OTKAR,335.0,-6.58,7.3
2026-08-30,OYAKC,23.12,14.53,1.48
2026-08-30,PETKM,20.22,-15.66,0.68
2026-08-30,PGSUS,153.3,67.1,0.68
2026-08-30,PSGYO,3.34,9.1,0.54
2026-08-30,QUAGR,3.4,-7.67,0.83
2026-08-30,REEDR,6.0,-5.04,0.66
2026-08-30,SAHOL,93.95,9.5,0.47
2026-08-30,SASA,2.34,-8.95,0.64
2026-08-30,SDTTR,260.0,106.72,5.25
2026-08-30,SISE,40.24,10.5,0.46
2026-08-30,SKBNK,6.26,5.66,1.03
2026-08-30,SMRTG,10.31,83.39,3.53
2026-08-30,SOKM,57.15,-12.71,0.85
2026-08-30,TABGD,247.0,22.14,2.42
2026-08-30,TAVHL,284.25,17.88,1.26
2026-08-30,TCELL,103.5,10.81,0.74
2026-08-30,THYAO,308.5,3.2,0.42
2026-08-30,TKFEN,219.5,-13.83,2.32
2026-08-30,TOASO,275.25,9.82,2.09
2026-08-30,TSKB,11.19,2.92,0.62
2026-08-30,TTKOM,53.85,6.16,0.71
2026-08-30,TTRAK,437.5,-48.02,2.31
2026-08-30,TUKAS,2.03,-62.11,0.46
2026-08-30,TUPRS,380.0,10.07,1.61
2026-08-30,ULKER,92.2,7.58,0.67
2026-08-30,VAKBN,32.1,4.54,0.9
2026-08-30,VESBE,5.3,-1.43,0.21
2026-08-30,VESTL,22.08,-0.26,0.34
2026-08-30,YEOTK,35.4,11.64,5.34
2026-08-30,YKBNK,37.08,5.66,1.09
2026-08-30,YYLGD,10.22,4.72,0.61
2026-08-30,ZOREN,2.29,-0.93,0.18
